id,name,lat,lon
baringo,Baringo,0.676488338682583,35.94032522233048
bomet,Bomet,-0.6915277796542773,35.28131251010795
bungoma,Bungoma,0.7513713676546335,34.63918407620408
busia,Busia,0.3899237897006424,34.19384204236984
elgeyo_marakwet,Elgeyo-Marakwet,0.7996738915560124,35.53640148693017
embu,Embu,-0.6013074581010726,37.625190062064675
garissa,Garissa,-0.4884944308476137,40.180834390019
homa_bay,Homa Bay,-0.5409790420882846,34.36037549020737
isiolo,Isiolo,1.0119361798856503,38.539129043469856
kajiado,Kajiado,-2.1208533307515913,36.90923886890066
kakamega,Kakamega,0.4055439488976326,34.74403158366234
kericho,Kericho,-0.24372433725992892,35.33665691068408
kiambu,Kiambu,-1.0667330086353386,36.819685225295785
kilifi,Kilifi,-3.1733839211007986,39.68311291078085
kirinyaga,Kirinyaga,-0.522397261788668,37.318643824197174
kisii,Kisii,-0.7729994125710136,34.77619185076799
kisumu,Kisumu,-0.16843223199922994,34.83469220629923
kitui,Kitui,-1.4862541131541267,38.40587558714184
kwale,Kwale,-4.13917451336241,39.15154175797557
laikipia,Laikipia,0.32387329714250535,36.762520250882794
lamu,Lamu,-2.03962265344044,40.766237036866904
machakos,Machakos,-1.2898863398358689,37.4056378748843
makueni,Makueni,-2.166327467216294,37.79973216730591
mandera,Mandera,3.4386937241360918,40.73665646852782
marsabit,Marsabit,2.981202970977666,37.56775738113752
meru,Meru,0.1717697557012572,37.76017999766486
migori,Migori,-0.9903636046169126,34.36389130550826
mombasa,Mombasa,-4.01765526820085,39.6546167655798
muranga,Murang'a,-0.8088490194256513,37.03110612344756
nairobi,Nairobi,-1.29263103579261,36.86439893065126
nakuru,Nakuru,-0.46403716038613935,36.07635595832045
nandi,Nandi,0.18540086250599389,35.1122991711908
narok,Narok,-1.2539893697849647,35.57528105991903
nyamira,Nyamira,-0.6422461027122516,34.964763395917686
nyandarua,Nyandarua,-0.31809000490971256,36.4779167513187
nyeri,Nyeri,-0.34307948668420574,36.95382845617097
samburu,Samburu,1.3199839388286732,37.11676339754561
siaya,Siaya,-0.05851748312299024,34.24725544170989
taita_taveta,Taita Taveta,-3.4326216269671046,38.41812254793158
tana_river,Tana River,-1.5576070066929217,39.412205760494814
tharaka,Tharaka,-0.19902943177502577,37.871706700087486
trans_nzoia,Trans Nzoia,1.051833803117602,34.95709188765047
turkana,Turkana,3.414628114974985,35.434667145570856
uasin_gishu,Uasin Gishu,0.5320411018429891,35.31862790441894
vihiga,Vihiga,0.07825119720718154,34.7219109880463
wajir,Wajir,1.8102489878166217,40.03345933463216
west_pokot,West Pokot,1.7274474124161443,35.243082670286405
